Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1360       15449      0          9855       11.36
structure_refs      224        80         0          9          0.36
biomes              224        691        0          201        3.08
terrain             224        976        1          251        4.36
surface             224        523        0          42         2.33
air_carvers         224        441        0          45         1.97
fluid_carvers       224        144        0          25         0.64
decoration          118        6035       10         621        51.14
mob_spawns          21         81         0          55         3.86
structure_searches  0          0          0          0          0.00
Sum                                                             79.11
